Player,Nation,Pos,Sec_Pos,Squad,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Daniel Bragança,POR,MF,,Sporting CP,1999,8,2,318,3.5,1,2,3,1,0,0,1,0,1.3,1.3,0.4,1.6,6,23,8,0.28,0.57,0.85,0.28,0.85,0.36,0.1,0.46,0.36,0.46
Julian Brandt,GER,MF,,Dortmund ,1996,13,11,877,9.7,0,5,5,0,0,0,0,0,0.7,0.7,1.5,2.2,26,54,64,0,0.51,0.51,0,0.51,0.08,0.15,0.23,0.08,0.23
Fabian Bredlow,GER,GK,,Stuttgart ,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
Gleison Bremer,BRA,DF,,Juventus ,1997,2,2,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Marco Brescianini,ITA,MF,FW,Atalanta ,2000,6,1,127,1.4,1,0,1,1,0,0,1,0,0.9,0.9,0,1,5,2,19,0.71,0,0.71,0.71,0.71,0.67,0.02,0.69,0.67,0.69
Alexandre Brito,POR,MF,,Sporting CP,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06
Emi Buendía,ARG,FW,MF,Aston Villa,1996,4,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,6,10,0,0,0,0,0,0,0.05,0.05,0,0.05
Emi Buendía,ARG,MF,,Leverkusen ,1996,2,0,11,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hugo Bueno,ESP,DF,MF,Feyenoord ,2002,9,6,546,6.1,0,1,1,0,0,0,1,0,0.2,0.2,0.9,1.2,25,20,36,0,0.16,0.16,0,0.16,0.04,0.15,0.19,0.04,0.19
Nathan Butler-Oyedeji,ENG,FW,,Arsenal ,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rémy Cabella,FRA,MF,FW,Lille ,1990,7,6,383,4.3,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,17,23,30,0.23,0.23,0.47,0.23,0.47,0.29,0.14,0.43,0.29,0.43
Arthur Cabral,BRA,FW,MF,Benfica ,1998,6,0,80,0.9,1,0,1,1,0,0,0,1,0.4,0.4,0,0.4,0,0,5,1.13,0,1.13,1.13,1.13,0.4,0.03,0.43,0.4,0.43
Davide Calabria,ITA,DF,,Milan ,1996,5,3,313,3.5,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,4,16,21,0,0,0,0,0,0.03,0.11,0.15,0.03,0.15
Riccardo Calafiori,ITA,DF,,Arsenal ,2002,8,4,431,4.8,1,1,2,1,0,0,2,0,0.7,0.7,1,1.7,8,13,10,0.21,0.21,0.42,0.21,0.42,0.14,0.22,0.36,0.14,0.36
Hakan Çalhanoğlu,TUR,MF,,Inter ,1994,12,11,827,9.2,4,2,6,1,3,3,3,0,3.1,0.7,1,1.7,5,32,5,0.44,0.22,0.65,0.11,0.33,0.33,0.11,0.45,0.08,0.19
Amady Camara,MLI,FW,MF,Sturm Graz,2005,4,2,132,1.5,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,2,1,5,0,0,0,0,0,0.38,0.08,0.46,0.38,0.46
Lamine Camara,SEN,MF,,Monaco ,2004,9,9,605,6.7,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,7,23,10,0,0,0,0,0,0.03,0.06,0.1,0.03,0.1
Mahdi Camara,FRA,MF,,Brest ,1998,10,9,705,7.8,1,0,1,1,0,0,2,0,1,1,0.3,1.3,10,21,25,0.13,0,0.13,0.13,0.13,0.13,0.04,0.17,0.13,0.17
Francesco Camarda,ITA,FW,MF,Milan ,2008,4,0,39,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,0,2,0,0,0,0,0,0.35,0,0.35,0.35,0.35
Eduardo Camavinga,FRA,MF,,Real Madrid,2002,9,5,496,5.5,0,0,0,0,0,0,4,1,0.1,0.1,0.6,0.7,7,25,5,0,0,0,0,0,0.01,0.12,0.14,0.01,0.14
